,station_id,padavine_klicina_00,temperatura_avg_00,veter_hitrost_00,veter_sunki_00,padavine_klicina_06,temperatura_avg_06,veter_hitrost_06,veter_sunki_06,padavine_klicina_12,temperatura_avg_12,veter_hitrost_12,veter_sunki_12,padavine_klicina_18,temperatura_avg_18,veter_hitrost_18,veter_sunki_18,month,pretok_m3s,pretok_m3s_q,vodostaj (cm),temp. vode (°C)
0,2619,0.0,0.19999999999999996,2.980231019876181,16.3,0.16166666666666665,0.6013888888888889,2.5456568914956015,12.58,7.989999999999999,1.0722222222222222,2.8132063647224936,18.98,6.631666666666667,0.2666666666666667,2.2052809343434343,10.47,1,199.104,0,,
1,2619,0.7883333333333334,0.03888888888888891,2.6471754643206253,11.79,0.0,0.24444444444444435,2.8110735581622674,19.41,0.0,0.775,3.0715396980558274,19.48,0.0,-0.5180555555555556,3.2645864898989903,19.73,1,234.621,1,,
2,2619,0.0,-1.1583333333333332,2.698703242098403,12.83,0.0,-0.501388888888889,3.0944068914956007,13.61,0.5533333333333333,2.1041666666666665,3.1797341425002714,18.53,0.12,-0.34722222222222227,2.946114267676768,25.51,1,192.017,0,,
3,2619,0.0,-1.6027777777777779,2.5968976865428477,14.75,0.0,-0.9152777777777779,2.6735735581622677,12.91,0.0,1.7930555555555554,2.278345253611383,9.94,0.0,0.5972222222222221,2.771669823232324,12.58,1,214.858,0,,
4,2619,0.0,0.9541666666666667,2.8875921309872923,14.09,0.0,2.005555555555555,2.3006568914956014,8.87,0.06333333333333334,4.722222222222222,2.7457063647224937,11.89,0.04833333333333334,3.6263888888888887,2.4383364898989903,13.13,1,221.596,0,,
5,2619,0.0,3.9305555555555554,2.6423143532095144,12.39,0.0,4.3694444444444445,2.5930180026067124,9.79,0.0,6.516666666666667,2.7495952536113824,15.32,0.0,4.980555555555555,2.7002809343434344,15.42,1,189.346,0,,
6,2619,0.0,3.0013888888888887,2.7771754643206257,16.09,0.0,2.8944444444444444,2.401073558162268,12.91,0.0,6.763888888888888,2.386261920278049,9.73,0.0,4.063888888888889,2.4762531565656567,14.28,1,184.983,0,,
7,2619,0.0,2.5194444444444444,2.319397686542848,11.51,0.0,2.9986111111111113,2.478434669273379,10.51,0.0,6.015277777777778,2.405706364722494,8.75,0.0,2.6666666666666665,2.4533364898989904,11.55,1,219.029,0,,
8,2619,0.0,2.7819444444444446,2.8631476865428476,14.79,0.0,4.040277777777778,3.6557957803844903,21.35,2.8383333333333334,5.115277777777778,4.191956364722494,24.71,13.068333333333333,4.0986111111111105,2.5086142676767675,11.93,1,298.225,1,,
9,2619,2.768333333333333,3.513888888888889,2.071481019876181,6.71,0.5983333333333333,3.5097222222222224,2.121212447051157,7.025032258064516,0.0,4.375,2.2448730313891603,7.4878064516129035,0.0,2.336111111111111,2.0168087121212124,6.7921505376344085,1,336.733,1,,
10,2619,0.0,1.9222222222222223,2.2096754643206253,6.649698924731183,0.0,2.115277777777778,2.2913008308895404,7.9,0.0,3.3555555555555556,2.2773730313891605,9.6,0.0,1.823611111111111,2.420975378787879,12.37,1,342.979,1,,
11,2619,0.0,1.3458333333333334,2.7434254643206253,11.13,0.0,1.5597222222222225,3.3726013359400455,12.2,0.0,2.8597222222222225,2.826400809166938,9.96,0.018333333333333333,1.8388888888888888,2.732364267676768,11.61,1,333.267,1,,
12,2619,0.0,1.3680555555555554,2.556203242098403,10.27,0.01,1.1208333333333333,2.4967680026067125,10.64,0.0,1.423611111111111,2.399317475833605,7.4878064516129035,0.085,0.2499999999999999,2.2007449494949496,6.7921505376344085,1,277.879,1,,
13,2619,0.135,-0.6972222222222223,2.6760643532095147,8.17,1.7299999999999998,-1.3291666666666666,2.53704578038449,7.025032258064516,1.29,-2.111111111111111,2.5811230313891604,7.4878064516129035,1.1900000000000002,-3.3958333333333335,1.8827809343434343,6.7921505376344085,1,243.433,1,,
14,2619,0.024999999999999998,-4.0125,2.1416199087650702,6.649698924731183,0.0,-3.7750000000000004,2.3480180026067123,7.025032258064516,0.0,-2.511111111111111,2.857928586944716,9.63,0.0,-3.2833333333333337,2.9625031565656568,13.73,1,226.775,1,,
15,2619,0.01,-2.5680555555555555,2.780900211795373,12.04,0.015,-0.6541666666666667,2.46079578038449,11.12,0.011666666666666667,2.7305555555555556,3.0348730313891608,14.58,0.0,-0.18472222222222223,2.7713920454545455,12.62,1,239.483,1,,
16,2619,0.0,-0.6166666666666666,2.5082865754317365,13.34,0.1466666666666667,0.3944444444444444,2.751073558162268,20.74,0.43500000000000005,1.4666666666666668,3.468067475833605,21.37,0.0,-2.118055555555556,2.6455587121212125,18.03,1,244.471,1,,
17,2619,0.035,-2.761111111111111,2.879397686542848,15.0,0.0,-2.255555555555556,2.7288513359400457,11.69,0.0,3.0694444444444446,3.095150809166938,14.15,0.0,0.23611111111111124,3.075142045454546,15.71,1,226.45,1,,
18,2619,0.0,-0.22638888888888883,2.6985643532095143,16.76,0.14500000000000002,0.3763888888888889,2.62954578038449,11.82,1.375,0.33333333333333326,2.933345253611383,19.61,0.0,-1.4222222222222223,1.8570864898989903,8.41,1,246.979,1,,
19,2619,0.0,-1.7749999999999997,2.5660643532095144,8.94,0.0,-1.186111111111111,2.3581568914956015,7.29,0.0,0.4361111111111113,2.903900809166938,10.64,0.18666666666666665,-1.465277777777778,2.7277809343434343,15.63,1,228.746,1,,
